Sentences,Figure_OF_Speech
"’I am a shark, Cassie,’ he says slowly, drawing the words out, as if he might be speaking to me for the last time. Looking into my eyes with tears in his, as if he's seeing me for the last time. ""A shark who dreamed he was a man.’",Metaphor
Her mouth was a fountain of delight.,Metaphor
The parents looked upon Matilda in particular as nothing more than a scab. A scab is something you have to put up with until the time comes when you can pick it off and flick it away.,Metaphor
"Mr. Neck storms into class, a bull chasing thirty-three red flags.""",Metaphor
"’Well, you keep away from her, cause she’s a rattrap if I ever seen one.’",Metaphor
"But now, O Lord, You are our Father, We are the clay, and You our potter; And all of us are the work of Your hand.",Metaphor
"He could hear Beatty's voice. ‘Sit down, Montag. Watch. Delicately, like the petals of a flower. Light the first page, light the second page. Each becomes a black butterfly. Beautiful, eh? Light the third page from the second and so on, chainsmoking, chapter by chapter, all the silly things the words mean, all the false promises, all the second-hand notions and time-worn philosophies.’",Metaphor
"Delia was an overbearing cake with condescending frosting, and frankly, I was on a diet.",Metaphor
"The sun was a toddler insistently refusing to go to bed: It was past eight thirty and still light.
If wits were pins, the man would be a veritable hedgehog.
What's this? he inquired, none too pleasantly. ""A circus?""",Metaphor
Using a metaphor in front of a man as unimaginative as Ridcully was the same as putting a red flag to a bu — the same as putting something very annoying in front of someone who was annoyed by it.,Metaphor
My thoughts are stars I cannot fathom into constellations.,Metaphor
"If you can look into the seeds of time, and say which grain will grow and which will not, speak then to me.",Metaphor
Memories are bullets. Some whiz by and only spook you. Others tear you open and leave you in pieces.,Metaphor
"Wishes are thorns, he told himself sharply. They do us no good, just stick into our skin and hurt us.",Metaphor
"’Life' wrote a friend of mine, 'is a public performance on the violin, in which you must learn the instrument as you go along.",Metaphor
"There was an invisible necklace of nows, stretching out in front of her along the crazy, twisting road, each bead a golden second.",Metaphor
"All the world’s a stage, and all the men and women merely players.",Metaphor
"She must make him happy. She must be She must be his favorite place in Minneapolis. You are a souvenir shop, where he goes to remember how much people miss him when he is gone.",Metaphor
"She is all states, and all princes, I. Nothing else is. Princes do but play us; compared to this, All honour's mimic, all wealth alchemy.",Metaphor
"I watched a girl in a sundress kiss another girl on a park bench, and just as the sunlight spilled perfectly onto both of their hair, I thought to myself: How bravely beautiful it is, that sometimes, the sea wants the city, even when it has been told its entire life it was meant for the shore.",Metaphor
All our words are but crumbs that fall down from the feast of the mind. Thinking is always the stumbling stone to poetry. A great singer is he who sings our silences. How can you sing if your mouth be filled with food? How shall your hand be raised in blessing if it is filled with gold? They say the nightingale pierces his bosom with a thorn when he sings his love song.,Metaphor
But a BIRD that stalks down his narrow cage Can seldom see through his bars of rage His wings are clipped and his feet are tied So he opens his throat to sing.,Metaphor
"Two roads diverged in a wood, and I— I took the one less traveled by, And that has made all the difference.",Metaphor
"Marriage is not a house or even a tent it is before that, and colder: the edge of the forest, the edge of the desert the edge of the receding glacier where painfully and with wonder at having survived even this far we are learning to make fire",Metaphor
"These poems do not live: it's a sad diagnosis. They grew their toes and fingers well enough, Their little foreheads bulged with concentration. If they missed out on walking about like people It wasn't for any lack of mother-love.",Metaphor
"Hope is the thing with feathers That perches in the soul, And sings the tune without the words, And never stops at all.",Metaphor
Love is a battlefield.,Metaphor
You’ve given me something to chew on.,Metaphor
He’s just blowing off steam.,Metaphor
That is music to my ears.,Metaphor
Love is a fine wine.,Metaphor
She’s a thorn in my side.,Metaphor
You are the light in my life.,Metaphor
He has the heart of a lion.,Metaphor
Am I talking to a brick wall?,Metaphor
He has ants in his pants.,Metaphor
Beauty is a fading flower.,Metaphor
She has a heart of stone.,Metaphor
Fear is a beast that feeds on attention.,Metaphor
Life is a journey.,Metaphor
He’s a late bloomer.,Metaphor
He is a lame duck now.,Metaphor
You ain't nothin' but a hound dog Cryin' all the time,Metaphor
You're a fallen star You're the getaway car You're the line in the sand When I go too far You're the swimming pool On an August day And you're the perfect thing to say,Metaphor
"'Cause baby you're a firework Come on show 'em what your worth Make 'em go ""Oh, oh, oh!"" As you shoot across the sky-y-y",Metaphor
"I'm bulletproof nothing to lose Fire away, fire away Ricochet, you take your aim Fire away, fire away You shoot me down but I won't fall, I am titanium",Metaphor
Life is a highway I wanna ride it all night long If you're going my way I wanna drive it all night long,Metaphor
She's a Saturn with a sunroof With her brown hair a-blowing She's a soft place to land And a good feeling knowing She's a warm conversation,Metaphor
"I'm a marquise diamond Could even make that Tiffany jealous You say I give it to you hard So bad, so bad Make you never wanna leave I won't, I won't",Metaphor
"Remember those walls I built Well, baby, they're tumbling down And they didn't even put up a fight They didn't even make a sound",Metaphor
"Did I ever tell you you're my hero? You're everything, everything I wish I could be. Oh, and I, I could fly higher than an eagle, For you are the wind beneath my wings,  'Cause you are the wind beneath my wings",Metaphor
You are my fire The one desire Believe when I say I want it that way,Metaphor
Your body is a wonderland Your body is a wonder (I'll use my hands) Your body is a wonderland,Metaphor
I'm walking on sunshine (Wow!) I'm walking on sunshine (Wow!) I'm walking on sunshine (Wow!) And don't it feel good,Metaphor
If you wanna be with me Baby there's a price to pay I'm a genie in a bottle You gotta rub me the right way,Metaphor
"If God is a DJ, life is a dance floor Love is the rhythm, you are the music If God is a DJ, life is a dance floor You get what you're given it's all how you use it",Metaphor
If this town Is just an apple Then let me take a bite,Metaphor
I just wanna be part of your symphony Will you hold me tight and not let go?,Metaphor
"My heart's a stereo It beats for you, so listen close Hear my thoughts in every note",Metaphor
I'm the sunshine in your hair I'm the shadow on the ground I'm the whisper in the wind I'm your imaginary friend,Metaphor
"What beautiful blossoms we have this year. But look, this one’s late. I’ll bet that when it blooms it will be the most beautiful of all.",Metaphor
Love is an open door,Metaphor
"You're television incarnate, Diana. Indifferent to suffering, insensitive to joy.",Metaphor
Life's a climb. But the view is great.,Metaphor
"All religions, arts and sciences are branches of the same tree.",Metaphor
A good conscience is a continual Christmas.,Metaphor
America has tossed its cap over the wall of space.,Metaphor
I don't approve of political jokes; I have seen too many of them get elected.,Metaphor
Conscience is a man’s compass.,Metaphor
"In the depths of winter, I finally learned that within me there lay an invincible summer.",Metaphor
Time is the moving image of eternity.,Metaphor
"Every human is a school subject. This is rather a metaphorical way of saying it, to put it straight, those you love are few, and the ones you detest are many.",Metaphor
"Even if you're on the right track, you'll get run over if you just sit there.",Metaphor
Life is little more than a loan shark: it exacts a very high rate of interest for the few pleasures it concedes.,Metaphor
"America: in the face of our common dangers, in this winter of our hardship, let us remember these timeless words.  With hope and virtue, let us brave once more the icy currents, and endure what storms may come.",Metaphor
Bolshevism is a ghoul descending from a pile of skulls. It is not a policy; it is a disease. It is not a creed; it is a pestilence.,Metaphor
Books are mirrors of the soul.,Metaphor
"My life has a superb cast, but I can't figure out the plot.",Metaphor
"I feel like we’re all in a super shitty Escape Room with really obvious clues like, ‘vote’ and ‘believe women’ and ‘don’t put children in cages.’",Metaphor
"I travel the world, and I'm happy to say that America is still the great melting pot — maybe a chunky stew rather than a melting pot at this point, but you know what I mean.",Metaphor
Life is a long road on a short journey.,Metaphor
"What therefore is truth? A mobile army of metaphors, metonymies, anthropomorphisms: in short a sum of human relations which become poetically and rhetorically intensified, metamorphosed, adorned, and after long usage seem to a nation fixed, canonic and binding.",Metaphor
Life is a foreign language: all men mispronounce it.,Metaphor
Dying is a wild night and a new road.,Metaphor
And your very flesh shall be a great poem.,Metaphor
Samuel brayed his refusal to leave the party peacefully.  ,Metaphor
Angrily Sonia barked commands at her child.,Metaphor
Andy's wife asked him to go fetch dinner. ,Metaphor
Tony tucked his tail and ran. ,Metaphor
Jennifer purred over the lavish present. ,Metaphor
"When Todd's deception was found out, he left with his tail between his legs. ",Metaphor
Alex was chomping at the bit to have his turn. ,Metaphor
Harry squawked when the teacher ordered him to detention. ,Metaphor
Zeus bellowed his commands to his subjects. ,Metaphor
Eddie galloped to the store. ,Metaphor
The paparazzi circled over the young singing sensation. ,Metaphor
The hostess spent the entire party buzzing from table to table. ,Metaphor
The pregnant woman waddled into the delivery room. ,Metaphor
"Danny slithered over to Donna and hissed, ""Let's go."" ",Metaphor
The couple shed their clothes and jumped into the hot springs. ,Metaphor
The flowers nodded in the wind. ,Metaphor
Wanda sailed through her exams in no time. ,Metaphor
"At the party, the men orbited the super model. ",Metaphor
Justin's smile radiated throughout the room. ,Metaphor
Philip's anger grew until it erupted. ,Metaphor
"To keep the peace, Alice steered away from confrontation. ",Metaphor
Andy wound his way through the crowd to get a better view. ,Metaphor
The loving words nourished his bruised ego.,Metaphor
The colors of the sunset were leafy orange and yellow. ,Metaphor
Love can have dangerous thorns. ,Metaphor
Bigotry infects the soul.,Metaphor
Her thoughtless remarks slashed his ego.,Metaphor
The leaves were fluttering in the breeze. ,Metaphor
"The Porsche crouched before the race, growling in anticipation.",Metaphor
The snow swaddled the hillside. ,Metaphor
As cute as a kitten,Simile
As happy as a clam,Simile
As light as a feather,Simile
As blind as a bat,Simile
As bold as brass,Simile
As bright as a button,Simile
As shiny as a new pin,Simile
As cold as ice,Simile
As common as dirt,Simile
As cool as a cucumber,Simile
As hard as nails,Simile
As hot as hell,Simile
As innocent as a lamb,Simile
As tall as a giraffe,Simile
As tough as nails,Simile
As white as a ghost,Simile
As sweet as sugar,Simile
As black as coal,Simile
You were as brave as a lion.,Simile
They fought like cats and dogs.,Simile
He is as funny as a barrel of monkeys.,Simile
This house is as clean as a whistle.,Simile
He is as strong as an ox.,Simile
Your explanation is as clear as mud.,Simile
Watching the show was like watching grass grow.,Simile
That is as easy as shooting fish in a barrel.,Simile
This contract is as solid as the ground we stand on.,Simile
That guy is as nutty as a fruitcake.,Simile
Don't just sit there like a bump on a log.,Simile
"Well, that went over like a lead balloon.",Simile
They are as different as night and day.,Simile
She is as thin as a rake.,Simile
"Last night, I slept like a log.",Simile
This dress is perfect because it fits like a glove.,Simile
"They wore jeans, which made me stand out like a sore thumb.",Simile
My love for you is as deep as the ocean.,Simile
I am so thirsty that my throat is as dry as a bone.,Simile
"My heart is like an open highway. - ""It's My Life,"" Bon Jovi",Simile
"It's been a hard days night, and I've been working like a dog. - ""A Hard Day's Night,"" The Beatles",Simile
"And it seems to me you lived your life, Like a candle in the wind. - ""Candle in the Wind,"" Elton John",Simile
"You're as cold as ice. - ""Cold As Ice,"" Foreigner",Simile
"Steady as a preacher, Free as a weed - ""American Honey,"" Lady Antebellum",Simile
Chevrolet: Built Like A Rock,Simile
Doritos: Tastes Like Awesome Feels,Simile
State Farm: Like A Good Neighbor,Simile
"O my Luve is like a red, red rose That's newly sprung in June; O my Luve is like the melodyThat's sweetly played in tune.""]",Simile
"Is love a tender thing? It is too rough, too rude, too boisterous, and it pricks like thorn.""]",Simile
"Does it dry up like a raisin in the sun? Or fester like a sore— And then run? Does it stink like rotten meat? Or crust and sugar over— like a syrupy sweet?""]",Simile
A woman is like a teabag,Simile
Like a funeral procession.,Simile
"Dresden was like the moon now, nothing but minerals.",Simile
But if they ever flip sides like Anakin,Simile
you lived your life,Simile
Like a candle in the wind,Simile
like a rolling stone,Simile
Does it dry up,Simile
like a raisin in the sun?,Simile
Or fester like a sore—,Simile
Does it stink like rotten meat?,Simile
like a syrupy sweet?,Simile
sags like a heavy load.,Simile
As brave as a lion,Simile
As busy as a bee,Simile
As cool as a cucumber,Simile
As dead as the dodo,Simile
As fit as a fiddle,Simile
As blind as a bat,Simile
As sticky as jam,Simile
As innocent as a lamb,Simile
As pale as a ghost,Simile
As pleased as punch,Simile
As poor as a church mouse,Simile
As quick as lightning,Simile
As silent as the grave,Simile
As sharp as a needle,Simile
As snug as a bug in a rug,Simile
As sweet as honey,Simile
As tough as nails,Simile
As wise as an owl,Simile
As white as snow,Simile
As sweet as honey,Simile
As smooth as silk,Simile
As sly as a fox,Simile
As proud as a peacock,Simile
As mad as a hatter,Simile
As hot as hell,Simile
As fresh as a daisy,Simile
As cute as a button,Simile
As lowly as a worm,Simile
As nutty as a fruit cake,Simile
As right as rain,Simile
My Mistress' Eyes are Nothing Like the Sun,Simile
An emerald is as green as grass,Simile
A ruby red as blood,Simile
A sapphire shines as blue as heaven,Simile
She dealt with moral problems as a cleaver deals with meat.,Simile
"Human speech is like a cracked cauldron on which we bang out tunes that make bears dance, when we want to move the stars to pity.",Simile
He was like a cock who thought the sun had risen to hear him crow. ,Simile
He looked about as inconspicuous as a tarantula on a slice of angel food.,Simile
"The stooped forms inched in an uneven line, like a wave, across the onion field. ",Simile
"Over my head the clouds thicken, then crack and split like a roar of cannonballs tumbling down a marble staircase; their bellies open--too late to run now!--and suddenly the rain comes down.",Simile
We walk through volumes of the unexpressed and like snails leave behind a faint thread excreted out of ourselves.,Simile
"The day passed away thus: Edmond felt a species of stupor creeping over him; the gnawing pain at his stomach had ceased; his thirst had abated; when he closed his eyes he saw myriads of lights dancing before them, like the meteors that play about the marshes.",Simile
She was a pale blonde with a skin like clean and polished bone.,Simile
Our soldiers are as brave as lions.,Simile
Her cheeks are red like a rose.,Simile
He is as funny as a monkey.,Simile
The water well was as dry as a bone.,Simile
He is as cunning as a fox.,Simile
The glow of the tube-light was as bright as the sunshine.,Simile
"In winter, when it rained, he climbed into bed and felt as snug as a bug in a rug.",Simile
"At exam time, the high school student was as busy as a bee.",Simile
The beggar on the road looked as blind as a bat.,Simile
"When the examination finished, the candidate felt as light as a feather.",Simile
"When the teacher entered the class, the 6th-grade students were fighting like cats and dogs.",Simile
The diplomat said the friendship of the two countries was as deep as an ocean.,Simile
"The desert traveler’s hopes were dashed, as when at last he reached a well, it was as dry as a bone.",Simile
"His opponent was trying to infuriate him, but he remained as cool as cucumber.",Simile
The laborer remained busy at work all day long and slept like a log that night.,Simile
The audience listened to his spellbinding speech as quietly as mice.,Simile
The young athlete looked as strong as an ox.,Simile
The student moved as fast as lightning after getting permission from the teacher for an early release.,Simile
The history paper was as tricky as a labyrinth.,Simile
The boys in the playing field were feeling as happy as dogs with two tails.,Simile
"I would have given anything for the power to soothe her frail soul, tormenting itself in its invincible ignorance like a small bird beating about the cruel wires of a cage.",Simile
"… impressions poured in upon her of those two men, and to follow her thought was like following a voice which speaks too quickly to be taken down by one’s pencil…",Simile
Elderly American ladies leaning on their canes listed toward me like towers of Pisa.,Simile
"O my Luve’s like a red, red rose That’s newly sprung in June; O my Luve’s like the melodie That’s sweetly played in tune.",Simile
I wandered lonely as a cloud that floats on high o’er vales and hills.,Simile
##########Will there really be a morning? Is there such a thing as day?,Simile
Could I see it from the mountains If I were as tall as they?,Simile
Has it feet like water-lilies?,Simile
Has it feathers like a bird?#############,Simile
She was false as water.,Simile
Thou are rash as fire,Simile
smooth as monumental alabaster,Simile
like a picture impossibly painted on a running river,Simile
as alike as two peas in a pod,Simile
as bald as a coot,Simile
as big as a bus,Simile
as cool as a cucumber,Simile
as thin as a rake,Simile
as bold as brass,Simile
as thorny as a rose bush,Simile
as smooth as glass,Simile
as bright as the moon,Simile
gleamed like pearls,Simile
as green as mold,Simile
as soft as velvet,Simile
as gentle as a lamb,Simile
as fiery as a volcano,Simile
as black as pitch,Simile
as black as coal,Simile
as clear as crystal,Simile
as easy as taking candy from a baby,Simile
as thin as a rail,Simile
as red as rubies,Simile
as soft as silk,Simile
as slippery as an eel,Simile
as warm as toast,Simile
as big as a building,Simile
as clean as a whistle,Simile
as rough as sandpaper,Simile
as dead as a door-nail,Simile
as fresh as the air in spring,Simile
as stubborn as a mule,Simile
as ugly as sin,Simile
as crooked as a witch's hat,Simile
as soft as a daffodil's petals,Simile
as blue as the deepest ocean,Simile
as fragile as a house of cards,Simile
Playing chess with Ashley is like trying to outsmart a computer.,Simile
His temper was as explosive as a volcano.,Simile
Walking onto those sun-warmed stones was like stepping onto a hot plate.,Simile
"The cat, quick as lightning, pounced on the rat.",Simile
She's as dull as a doorknob.,Simile
Curley was flopping like a fish on a line. ,Simile
The very mist on the Essex marshes was like a gauzy and radiant fabric. ,Simile
"Why, man, he doth bestride the narrow world like a Colossus.",Simile
As pale as death ,Simile
As passionate as young love,Simile
As patient as hours ,Simile
As patient as Job ,Simile
As peaceful as sleep ,Simile
As persistent as mosquito ,Simile
As piercing as light ,Simile
As placid as duck-pond ,Simile
As plain as pikestaff ,Simile
As playful as a rabbit ,Simile
As playful as kittens,Simile
As pleasant as health ,Simile
As pleased as punch,Simile
As plentiful as blackberries,Simile
As poor as a church mouse,Simile
As poor as Job,Simile
As populous as an ant hill ,Simile
As powerful as death,Simile
As powerful as a lion,Simile
As powerless as an infant,Simile
As pretty as a picture,Simile
As pretty as a paint,Simile
As progressive as time ,Simile
As proud as a peacock ,Simile
As proud as Lucifer,Simile
As punctual as springtime,Simile
As pure as a lily,Simile
As pure as winter snow,Simile
As pure as faith,Simile
As active as quicksilver,Simile
As afraid as a grasshopper,Simile
As ageless as the sun,Simile
As agile as a cat,Simile
As agile as a monkey,Simile
As alert as a bird,Simile
As alike as two peas,Simile
As alone as a leper,Simile
As alone as Crusoe,Simile
As ambitious as the devil,Simile
As ambitious as the lady Macbeth,Simile
As ancient as the sun,Simile
As ancient as the stars,Simile
As angry as wasp,Simile
As far apart as the poles,Simile
As arid as the sand of Sahara,Simile
As artificial as the clockwork,Simile
As artificial as made-ice,Simile
As audacious as the day,Simile
As awful as justice,Simile
As awful as thunder,Simile
As awful as silence,Simile
As awkward as a cow on ice,Simile
As bad as the itch,Simile
As bad as the blight,Simile
As bald as the coot,Simile
As bald as an egg,Simile
As bald as a billiard ball,Simile
As bare as a stone,Simile
As bare as a winter,Simile
As barren as winter rain,Simile
As bashful as a schoolgirl,Simile
As beautiful as the sunset,Simile
As beautiful as a rainbow,Simile
As big as an elephant,Simile
As big as a whale,Simile
As bitter as a hemlock,Simile
As bitter as wormwood,Simile
As black as ebony,Simile
As blameless as snow,Simile
As blank as an empty bottle,Simile
As blind as a bat,Simile
As blind as ignorance,Simile
As blithe as may,Simile
As blue as indigo,Simile
As blue as forget-me-nots,Simile
As blunt as hammer,Simile
As boisterous as stormy sea winds,Simile
As bold as brass,Simile
As bold as lion,Simile
As blunt as the back of a knife,Simile
As boundless as the ocean,Simile
As bounteous as nature,Simile
As brainless as chimpanzee,Simile
As brave as Achilles,Simile
As brief as time,Simile
As brief as dream,Simile
As bright as new penny,Simile
As bright as new button,Simile
As bright as a new shilling,Simile
As brilliant as mirror,Simile
As brilliant as stars,Simile
As brisk as flea,Simile
As brisk as a bailiff,Simile
As brittle as glass,Simile
As broad as heaven=expanse,Simile
As brown as berry,Simile
As brown as a bun,Simile
As brown as hazelnuts,Simile
As buoyant as wings,Simile
As calm as a summer sea,Simile
As calm as glass,Simile
As calm as death,Simile
As candid as mirrors,Simile
As cautious as a fox,Simile
As cautious as a Scot,Simile
As certain as the rising of the morning Sun,Simile
As certain as the Christmas,Simile
As changeable as the moon,Simile
As chaste as Minerva,Simile
As chaste as a lily,Simile
As cheap as dirt,Simile
As cheap as lies,Simile
As cheeky as a young bantam cock,Simile
As cheerful as birds,Simile
As cheerful as the day was long,Simile
As cheerless as the grave,Simile
As cheery as the Sunbeam,Simile
As chill as death,Simile
As chilly as tomb,Simile
As chubby as cherub,Simile
As clammy as death,Simile
As clean as Dutch oven,Simile
As clean as a new pin,Simile
As clear as day light,Simile
As clear as crystal,Simile
As clear as a bell,Simile
As clear as rock water,Simile
As clever as paint,Simile
As clumsy as a bear,Simile
As coarse as a hemp,Simile
As coarse as fustian,Simile
As cold as the dog’s nose,Simile
As cold as a frog,Simile
As cold as a corpse,Simile
As comfortable as coin,Simile
As common as pins,Simile
As common as poverty,Simile
As common as dirt,Simile
As complacent as a cat,Simile
As confident as Hercules,Simile
As confident as justice,Simile
As conscientious as a dog,Simile
As consoling as night,Simile
As constant as the Sun,Simile
As contagious as yawn,Simile
As contrary as light and dark,Simile
As convincing as multiplication table,Simile
As cool as cucumber,Simile
As costly as an election,Simile
As cosy as the nest of the bird,Simile
As countless as the stars,Simile
As countless as hairs,Simile
As countless as the desert sands,Simile
As cowardly as the wild duck,Simile
As crafty as a fox,Simile
As credulous as a child,Simile
As crisp as new bank note,Simile
As crooked as a corkscrew,Simile
As cruel as Media,Simile
As cruel as winter,Simile
As cruel as death,Simile
As cunning as a fox,Simile
As curious as a fish,Simile
As dangerous as a machine gun,Simile
As dark as a dungeon,Simile
As dark as pitch,Simile
As dark as midnight,Simile
As dead as a doornail,Simile
As dead as the Roman Empire,Simile
As dead as wood,Simile
As dead as mutton,Simile
As deaf as beetle,Simile
As deaf as billows,Simile
As deceitful as the devil,Simile
As deceptive as the mirage of the desert,Simile
As deep as despair,Simile
As deep as hell,Simile
As deep as sea,Simile
As dejected as the wet hen,Simile
As delicious as forbidden fruit,Simile
As delicious as a dream,Simile
As desolate as a tomb,Simile
As devoted as a faithful dog,Simile
As difficult as a Greek puzzle,Simile
As difficult as a beginning,Simile
As dirty as a hog,Simile
As disappointing as wet gunpowder,Simile
As dismal as a hearse,Simile
As distant as the horizon,Simile
As dizzy as a goose,Simile
As docile as a lamp,Simile
As dreadful as the gathering storm,Simile
As dreary as an Asian steppe,Simile
As dreary as an empty house,Simile
As drunk as a top,Simile
As drunk as a fish,Simile
As drunk as a beggar,Simile
As dry as dust,Simile
As dry as a bone,Simile
As dull as ditch water,Simile
As dull as lead,Simile
As dump as oyster,Simile
As dump as a mouse,Simile
As eager as bridegroom,Simile
As easy as pie,Simile
As easy as shelling peas,Simile
As easy as lying,Simile
As elastic as caterpillar,Simile
As eloquent as Cicero,Simile
As elusive as quicksilver,Simile
As empty as an idiot’s mind,Simile
As empty as space,Simile
As enticing as a riddle,Simile
As essential as the dew,Simile
As expensive as the glory,Simile
As fabulous as Aladdin’s ring,Simile
As faint as the hum of distant bees,Simile
As fair as the morning,Simile
As fair as the truth,Simile
As fair as the Eve in paradise,Simile
As faithful as the dog,Simile
As faithful as the sun,Simile
As faithful as the fair weather,Simile
As false as dice,Simile
As familiar as a oath,Simile
As familiar as a popular song,Simile
As far as the poles asunder,Simile
As fast as light,Simile
As fast as an eagle,Simile
As fast as a storm,Simile
As fat as a porpoise,Simile
As fat as a sheep’s tail,Simile
As fat as the distillery’s pig,Simile
As fickle as the weather,Simile
As fickle as the friends,Simile
As fickle as the sea,Simile
As fidgety as an old maid,Simile
As fierce as the famished wolf,Simile
As fierce as the wolves,Simile
As firm as faith,Simile
As firm as adamant,Simile
As firm as Rocky Mountains,Simile
As firm as steel,Simile
As fit as fiddle,Simile
As fixed as the laws of the Medes,Simile
As fixed as the Persians,Simile
As fixed as fate,Simile
As flabby as sponge,Simile
As flat as pancake,Simile
As flat as the fens of Holland,Simile
As fleet as a greyhound,Simile
As fleet as the wind,Simile
As flimsy as gauze,Simile
As flimsy as gossamer,Simile
As foolish as calf,Simile
As foul as slander,Simile
As foul as sty,Simile
As frail as lily,Simile
As frail as flowers,Simile
As frail as glass,Simile
As free as a sea breeze,Simile
As free as a rose,Simile
As friendless as an alarm clock,Simile
As friendly as a puppy,Simile
As frigid as an iceberg,Simile
As frightened as Macbeth before the ghost of Banquet,Simile
As frisky as colt,Simile
As frizzled as the lawyer’s wig,Simile
As fruitful as Egypt,Simile
As full as an egg is of meat,Simile
As game as a fighting cock,Simile
As garrulous as a magpie,Simile
As garrulous as an old maid,Simile
As gaudy as a butterfly,Simile
As generous as a dream,Simile
As generous as a lord,Simile
As genial as sunshine,Simile
As gentle as a fawn,Simile
As gentle as a turtle dove,Simile
As gentle as sleep,Simile
As gentle as falling dew,Simile
As glad as a fly,Simile
As glad as blooming tree,Simile
As glad as grass,Simile
As glossy as a mole,Simile
As glossy as the finest silk,Simile
As gloomy as night,Simile
As glorious as the sun,Simile
As glum as the oyster,Simile
As glum as the mud,Simile
As gluttonous as curiosity,Simile
As good as gold,Simile
As good as a play,Simile
As gorgeous as a Sultana,Simile
As gorgeous as the Heaven,Simile
As graceful as the fawn,Simile
As gracious as the morning,Simile
As gracious as a Duchess,Simile
As grand as a victory,Simile
As grand as a Greek statue,Simile
As grand as the world,Simile
As grave as a judge,Simile
As grey as time,Simile
As grey as smoke,Simile
As great as a lord,Simile
As greedy as a hog,Simile
As greedy as a cormorant,Simile
As green as grass,Simile
As green as a leaf,Simile
As grim as death,Simile
As grim as hell,Simile
As haggard as specters,Simile
As hairless as an egg,Simile
As hairy as a mastodon,Simile
As hairy as a spider,Simile
As handsome as paint,Simile
As happy as a lark,Simile
As happy as a child,Simile
As happy as a lord,Simile
As hard as a flint,Simile
As hard as granite,Simile
As hard as steel,Simile
As harmless as a baby,Simile
As harsh as truth,Simile
As harsh as grating wheel,Simile
As hasty as fire,Simile
As hateful as death,Simile
As hateful as hell,Simile
As haughty as the devil,Simile
As healthy as a May morning,Simile
As hearty as an oak,Simile
As heavy as lead,Simile
As helpless as a baby,Simile
As hideous as the Witch of Ender,Simile
As high as heaven,Simile
As high as stars,Simile
As hoarse as raven,Simile
As hollow as drum,Simile
As honest as a mirror,Simile
As hopeful as the break of the day,Simile
As horny as the camel’s knee,Simile
As horrid as the murderer’s dream,Simile
As hot as pepper,Simile
As hot as hell,Simile
As hot as fire,Simile
As hot as molten lead,Simile
As hue less as ghost,Simile
As huge as high Olympus,Simile
As humble as worm,Simile
As humble as Ukiah’s Heep,Simile
As hungry as a wolf,Simile
As hungry as the grave,Simile
As hungry as a bear,Simile
As hungry as a church mouse,Simile
As hushed as midnight,Simile
As ignorant as a child,Simile
As illimitable as the boundless sea,Simile
As illusive as a dream,Simile
As immaculate as an angel,Simile
As immense as the sea,Simile
As immortal as the stars,Simile
As immutable as the laws,Simile
As impatient as the lover,Simile
As imperishable as the eternity,Simile
As impetuous as a poet,Simile
As inconsistent as the moon,Simile
As inconsistent as the waves,Simile
As indolent as an old bachelor,Simile
As industrious as an ant,Simile
As inevitable as death,Simile
As inexhaustible as the deep sea,Simile
As inexorable as the grave,Simile
As inflexible as the granite rock,Simile
As innocent as a lamb,Simile
As innocent as a baby,Simile
As invisible as the air,Simile
As jealous as a Spaniard,Simile
As jealous as a cat,Simile
As jolly as a shoe brush,Simile
As joyful as a fly,Simile
As joyous as the laughter of a child,Simile
As jubilant as an old sleigh bells,Simile
As keen as a razor,Simile
As keen as hunger,Simile
As keen as mustard,Simile
As killing as a plague,Simile
As kind as consent,Simile
As knowing as the stars,Simile
As languid as love-sick maid,Simile
As lasting as the pyramids,Simile
As lawful as eating,Simile
As lawless as the stormy wind,Simile
As lax as cut string,Simile
As lazy as a toad,Simile
As lazy as a lobster,Simile
As lazy as a ship in the doldrums,Simile
As lean as Santo’s ass,Simile
As lean as a lath,Simile
As lean as a skeleton,Simile
As level as pond,Simile
As liberal as the sun,Simile
As lifeless as the grave,Simile
As light as down,Simile
As light as air,Simile
As light as cork,Simile
As light as feather,Simile
As lithe as panther,Simile
As lithe as a tiger,Simile
As little as a squirrel,Simile
As little as Tom Thumb,Simile
As lively as a cricket,Simile
As loathsome as a toad,Simile
As lonely as a deserted ship,Simile
As lonely as Arctic sea,Simile
As loquacious as Polonius,Simile
As loud as thunder,Simile
As loud as horn,Simile
As lovely as Venus,Simile
As lovely as the violet,Simile
As low as the grave,Simile
As lowly as a slave,Simile
As loyal as a dove,Simile
As mad as a March hare,Simile
As magnanimous as Agamemnon,Simile
As malicious as Satan,Simile
As mean as miser,Simile
As meek as a dove,Simile
As meek as a mouse,Simile
As merciless as the grave,Simile
As merciless as Othello,Simile
As merciless as ambition,Simile
As merry as a lark,Simile
As merry as a spring,Simile
As mild as a dove,Simile
As mild as moon light,Simile
As mischievous as a kitten,Simile
As mischievous as a monkey,Simile
As mobile as humanity,Simile
As modest as a dove,Simile
As modest as a primrose,Simile
As monotonous as the sea,Simile
As motionless as a corpse,Simile
As mournful as the grave,Simile
As muddy as sheep dogs,Simile
As mum as an oyster,Simile
As mute as the tomb,Simile
As mute as the grave,Simile
As mysterious as the echo,Simile
As mysterious as a sphinx,Simile
As naked as night,Simile
